sample,True R,True G,True B,Observed R,Observed G,Observed B,Red R,Red G,Red B,Green R,Green G,Green B,Blue R,Blue G,Blue B,camera
2003-6B_2_clahe_6,233,165,140,171,131,81,171,41,21,4,65,31,26,40,89,3
2003-6C_7_gaussian_blur_5,242,201,186,232,197,159,190,44,54,30,73,53,29,37,68,3
8002-12B_2_gamma_3,236,187,168,221,191,163,178,65,64,56,99,82,38,53,94,3
8002-12C_2_clahe_6,222,158,133,162,123,79,162,39,19,2,60,27,19,36,85,3
8002-12C_6_brightness_1,222,158,133,174,119,78,160,18,27,2,37,20,1,2,30,3
2002-6C_2_noise_7,236,184,174,240,190,141,219,57,26,44,135,66,61,78,158,3
2003-6B_7_motion_blur_4,233,165,140,230,170,120,204,53,61,30,71,53,30,37,66,3
2001-4B_4_clahe_6,235,189,190,187,163,129,163,35,26,1,62,35,42,60,108,3
8002-9B_3,238,194,187,213,188,168,165,57,57,45,92,76,31,47,88,3
8002-12C_1_brightness_1,222,158,133,159,122,94,134,38,39,31,66,53,16,28,61,3
2002-6C_6_hue_2,236,184,174,233,186,126,182,36,20,46,87,71,27,24,67,3
2003-6B_8_brightness_1,233,165,140,254,220,162,247,81,77,47,123,92,79,99,160,3
8002-9B_5_clahe_6,238,194,187,157,132,103,148,21,9,2,52,17,30,44,88,3
2001-4B_4,235,189,190,218,192,157,188,58,44,24,87,58,42,60,108,3
8002-12C_8_gamma_3,222,158,133,233,175,122,221,68,54,59,129,84,80,89,145,3
8002-12B_8_clahe_6,236,187,168,196,165,118,186,26,23,4,85,44,37,61,126,3
2001-4B_1_gaussian_blur_5,235,189,190,241,188,154,222,51,23,41,130,64,55,71,154,3
2001-4B_3,235,189,190,208,186,170,161,57,54,48,97,78,28,47,87,3
2003-6B_8_gamma_3,233,165,140,224,177,131,199,63,61,33,100,73,62,79,131,3
2003-6C_8_clahe_6,242,201,186,178,155,116,163,2,7,2,64,25,19,46,111,3
8002-12B_4_hue_2,236,187,168,196,183,141,146,60,42,31,54,51,19,17,38,3
8002-12B_5_gaussian_blur_5,236,187,168,203,170,129,183,53,29,24,78,43,24,35,80,3
2003-6C_3_noise_7,242,201,186,217,193,169,166,49,51,40,85,69,25,38,80,3
2002-4B_2_rotate_8,239,184,184,242,183,143,220,51,22,41,128,60,57,73,154,3
2002-6C_5_rotate_8,236,184,174,227,183,146,197,47,58,26,69,50,25,34,65,3
2002-6C_4_rotate_8,236,184,174,215,185,147,187,52,46,23,87,61,44,62,112,3
2002-4B_3_rotate_8,239,184,184,231,181,151,191,44,51,28,71,51,28,37,68,3
2002-6C_8_brightness_1,236,184,174,210,164,124,196,30,18,14,90,47,35,48,116,3
8002-12C_2_gaussian_blur_5,222,158,133,184,143,98,181,57,33,22,82,48,26,40,89,3
8002-12B_6_rotate_8,236,187,168,227,193,147,193,54,49,26,87,61,49,64,113,3
8002-12B_3_noise_7,236,187,168,239,189,133,211,52,26,48,135,60,61,76,148,3
